Year,Oil_Discoveries,Oil_Cumulative_Discoveries,Oil_Production,Oil_Cumulative_Production,Oil_Reserves,Gas_Discoveries,Gas_Cumulative_Discoveries,Gas_Production,Gas_Cumulative_Production,Gas_Reserves,Coal_Discoveries,Coal_Cumulative_Discoveries,Coal_Production,Coal_Cumulative_Production,Coal_Reserves
1966,149.123312304,6817.217148693299,71.27,1049.0800000000002,5768.137148693299,138.51837614941832,499.4573471135967,29.5885368,384.70477028,114.75257683359672,31.6368,895.2548048999998,59.79,2388.2999999999997,-1493.0451951
1967,189.863186311,7007.0803350043,76.46,1125.5400000000002,5881.5403350043,189.3054373780141,688.7627844916108,31.842486,416.54725628,272.2155282116108,16.4488,911.7036048999998,57.67,2445.97,-1534.2663951
1968,321.306930713,7328.3872657173,83.41,1208.9500000000003,6119.437265717299,44.497873330081404,733.2606578216921,34.8320628,451.37931908,281.8813387416921,25.6573,937.3609048999998,59.27,2505.24,-1567.8790951
1969,239.058505839,7567.445771556299,89.79,1298.7400000000002,6268.705771556299,102.46508704728969,835.7257448689818,38.2527288,489.63204788,346.0936969889818,22.1634,959.5243048999998,60.47,2565.7099999999996,-1606.1856950999997
1970,125.29432946099999,7692.7401010173,98.76,1397.5000000000002,6295.2401010173,43.80103445416327,879.5267793231451,35.139222,524.77126988,354.7555094431451,63.82399999999999,1023.3483048999998,62.89,2628.5999999999995,-1605.2516950999998
1971,288.253825367,7980.9939263843,104.4,1501.9000000000003,6479.093926384299,48.60984583461357,928.1366251577587,37.5883056,562.35957548,365.77704967775867,28.232499999999998,1051.5808048999997,62.32,2690.9199999999996,-1639.3391950999999
1972,102.618361847,8083.6122882313,110.34,1612.2400000000002,6471.3722882312995,13.968240372565997,942.1048655303247,39.4397424,601.79931788,340.3055476503247,79.22991,1130.8107148999998,62.1,2753.0199999999995,-1622.2092850999998
1973,233.67776775800002,8317.2900559893,120.4,1732.6400000000003,6584.6500559893,63.075167082690655,1005.1800326130153,41.3377236,643.13704148,362.04299113301533,49.8837,1180.6944148999999,63.21,2816.2299999999996,-1635.5355850999997
1974,172.95229520799998,8490.242351197301,120.67,1853.3100000000004,6636.932351197301,49.11667901457626,1054.2967116275915,42.2103762,685.34741768,368.9492939475915,48.991200000000006,1229.6856148999998,63.77,2879.9999999999995,-1650.3143850999998
1975,176.027002709,8666.2693539063,114.62,1967.9300000000003,6698.3393539063,109.9883941806084,1164.2851058082,42.3003708,727.64778848,436.63731732819986,102.15692200000001,1331.8425368999997,67.56,2947.5599999999995,-1615.7174630999998
1976,158.731773176,8825.0011270823,124.53,2092.4600000000005,6732.541127082299,48.37448164203645,1212.6595874502364,44.124408,771.77219648,440.8873909702363,42.9508,1374.7933368999998,69.48,3017.0399999999995,-1642.2466630999998
1977,238.67416740899998,9063.6752944913,128.88,2221.3400000000006,6842.3352944913,57.04159412177475,1269.7011815720111,45.9869796,817.7591760800001,451.94200549201105,73.28228,1448.0756168999997,71.59,3088.6299999999997,-1640.5543831
1978,147.20162015399998,9210.8769146453,130.05,2351.390000000001,6859.486914645298,85.90084198132473,1355.6020235533358,47.5437816,865.3029576800001,490.29906587333573,91.2398,1539.3154168999997,72.7,3161.3299999999995,-1622.0145830999998
1979,245.59225921,9456.4691738553,135.55,2486.940000000001,6969.529173855299,88.19439232190147,1443.7964158752372,50.7492756,916.0522332800001,527.7441825952371,103.97390000000001,1643.2893168999997,76.97,3238.2999999999993,-1595.0106830999996
1980,82.248424813,9538.7175986683,129.42,2616.360000000001,6922.357598668299,83.96764878823467,1527.7640646634718,51.4200168,967.4722500800001,560.2918145834717,111.11584,1754.4051568999996,75.49,3313.789999999999,-1559.3848430999994
1981,149.89198922499997,9688.6095878933,121.96,2738.320000000001,6950.289587893298,24.6957135940786,1552.4597782575504,52.311528,1019.78377808,532.6760001775503,157.76878999999997,1912.1739468999995,77.2,3390.989999999999,-1478.8160530999994
1982,160.653465326,9849.2630532193,117.14,2855.460000000001,6993.803053219299,18.53378163141923,1570.9935598889697,52.5509568,1072.33473488,498.65882500896964,122.9122,2035.0861468999994,79.94,3470.929999999999,-1435.8438530999995
1983,79.55805580299999,9928.8211090223,115.64,2971.100000000001,6957.721109022299,17.54111917932417,1588.5346790682938,53.021016,1125.35575088,463.17892818829387,71.53724000000001,2106.6233868999993,79.69,3550.619999999999,-1443.9966130999996
1984,153.735373525,10082.5564825473,117.91,3089.0100000000007,6993.546482547299,31.7192816623966,1620.2539607306903,57.5590284,1182.91477928,437.3391814506904,73.24974999999999,2179.8731368999993,83.18,3633.799999999999,-1453.9268630999995
1985,180.63906393,10263.1955464773,116.88,3205.890000000001,7057.305546477299,10.361601473312021,1630.6155622040023,59.0772384,1241.99201768,388.62354452400245,95.678119,2275.5512558999994,87.4,3721.199999999999,-1445.6487440999995
1986,115.301530159,10378.4970766363,122.65,3328.540000000001,7049.9570766362995,19.395423383148287,1650.0109855871506,60.605226,1302.5972436799998,347.4137419071508,67.01983988227738,2342.5710957822766,89.47,3810.6699999999987,-1468.098904217722
1987,93.778577835,10472.275654471301,122.93,3451.4700000000007,7020.8056544713,74.65114483459308,1724.6621304217438,63.6428808,1366.2401244799998,358.4220059417439,88.1969,2430.7679957822766,91.16,3901.8299999999986,-1471.062004217722
1988,83.78577859399999,10556.0614330653,128.19,3579.6600000000008,6976.4014330653,75.99407266429688,1800.6562030860407,66.4479648,1432.6880892799998,367.96811380604095,35.10324289340753,2465.8712386756843,93.37,3995.1999999999985,-1529.3287613243142
1989,110.68946893799999,10666.750902003301,129.73,3709.390000000001,6957.3609020033,86.82816320359956,1887.4843662896403,68.7491784,1501.4372676799999,386.04709860964044,127.8408,2593.712038675684,95.02,4090.2199999999984,-1496.5079613243142
1990,103.00270027699999,10769.753602280301,132.22,3841.6100000000006,6928.143602280301,45.210906162715574,1932.695272452356,70.9097976,1572.34706528,360.34820717235607,82.59656000000001,2676.308598675684,94.84,4185.059999999999,-1508.7514013243144
1991,67.643564351,10837.397166631301,131.86,3973.4700000000007,6863.9271666313,16.395686632940613,1949.0909590852966,71.854884,1644.20194928,304.8890098052966,194.20990000000003,2870.518498675684,92.26,4277.319999999999,-1406.8015013243148
1992,105.69306928699999,10943.0902359183,133.77,4107.240000000001,6835.850235918299,24.91495708887726,1974.0059161741738,72.0660312,1716.26798048,257.73793569417376,68.21723894049657,2938.7357376161804,92.06,4369.379999999999,-1430.6442623838188
1993,71.10261028199999,11014.1928462003,133.58,4240.820000000001,6773.372846200299,18.002525942688774,1992.0084421168626,72.8866692,1789.15464968,202.8537924368627,114.38675,3053.1224876161805,89.29,4458.669999999999,-1405.5475123838187
1994,62.26282626999999,11076.4556724703,135.43,4376.250000000001,6700.205672470299,29.884707164304935,2021.8931492811676,73.953072,1863.10772168,158.7854276011676,55.228089999999995,3108.3505776161805,91.34,4550.009999999999,-1441.6594223838188
1995,68.412241211,11144.867913681299,137.29,4513.540000000001,6631.327913681298,13.48865880477417,2035.3818080859417,75.1806072,1938.2883288799999,97.09347920594178,57.43795000000001,3165.7885276161805,94.13,4644.139999999999,-1478.3514723838189
1996,72.255625572,11217.123539253298,140.94,4654.4800000000005,6562.643539253298,44.21208751917542,2079.5938956051173,78.839874,2017.12820288,62.46569272511738,76.77314,3242.5616676161803,95.4,4739.539999999999,-1496.9783323838187
1997,69.565256501,11286.688795754299,144.08,4798.56,6488.128795754298,26.750711177733365,2106.344606782851,78.7787028,2095.90690568,10.437701102850951,88.99849,3331.5601576161803,96.8,4836.339999999999,-1504.779842383819
1998,88.397839754,11375.086635508298,147.72,4946.280000000001,6428.806635508297,64.46470599997353,2170.8093127828242,80.8644024,2176.77130808,-5.96199529717569,92.87528,3424.4354376161805,95.06,4931.4,-1506.9645623838192
1999,153.735373525,11528.822009033298,144.38,5090.660000000001,6438.162009033297,22.578647599843833,2193.387960382668,83.1699072,2259.94121528,-66.55325489733195,106.74589999999999,3531.1813376161804,95.09,5026.49,-1495.3086623838194
2000,213.69216921499998,11742.514178248299,150.64,5241.300000000001,6501.214178248298,42.588934026531696,2235.9768944091998,86.4258048,2346.36702008,-110.39012567080044,129.820097,3661.00143461618,96.49,5122.98,-1461.9785653838194
2001,121.4509451,11863.965123348298,150.63,5391.930000000001,6472.035123348297,13.953350130786003,2249.930244539986,88.467048,2434.83406808,-184.9038235400144,175.92602,3836.92745461618,100.58,5223.5599999999995,-1386.6325453838194
2002,81.479747953,11945.444871301299,148.81,5540.740000000002,6404.704871301297,20.945908777552035,2270.876153317538,90.5304168,2525.36448488,-254.488331562462,156.83774,3993.76519461618,101.79,5325.349999999999,-1331.5848053838195
2003,49.195319534099994,11994.640190835398,155.42,5696.160000000002,6298.480190835397,13.044892819378308,2283.921046136916,93.7687428,2619.13322768,-335.2121815430837,134.52209858732877,4128.287293203509,109.26,5434.61,-1306.3227067964908
2004,63.03150313,12057.671693965398,163.21,5859.370000000002,6198.301693965396,22.954958985509123,2306.8760051224253,96.9569244,2716.09015208,-409.2141469575745,184.73467725,4313.021970453508,118.7,5553.3099999999995,-1240.288029546491
2005,55.7290729051,12113.400766870498,164.6,6023.970000000002,6089.430766870496,13.641526571307928,2320.5175316937334,99.2796624,2815.36981448,-494.85228278626664,194.28209600000002,4507.304066453508,126.17,5679.48,-1172.1759335464913
2006,139.51485149299998,12252.915618363499,166.07,6190.040000000002,6062.875618363497,38.579185132648696,2359.096716826382,102.665376,2918.03519048,-558.9384736536181,280.407649,4787.711715453508,132.54,5812.0199999999995,-1024.3082845464914
2007,103.00270027699999,12355.918318640499,165.73,6355.770000000001,6000.148318640498,17.98739577289416,2377.084112599276,105.4031256,3023.43831608,-646.3542034807238,236.462465,5024.174180453508,138.39,5950.41,-926.2358195464922
2008,182.94509451,12538.863413150499,167.49,6523.260000000001,6015.6034131504975,17.378149011626633,2394.4622616109027,109.261116,3132.69943208,-738.2371704690972,363.73088522303084,5387.9050656765385,142.94,6093.349999999999,-705.444934323461
2009,114.14851486899998,12653.0119280195,163.32,6686.580000000001,5966.431928019499,58.56367436381855,2453.025935974721,105.8724756,3238.57190768,-785.545971705279,378.95337,5766.858435676539,142.73,6236.079999999999,-469.22156432346037
2010,155.272727245,12808.284655264499,166.55,6853.130000000001,5955.154655264498,43.36889111201109,2496.394827086732,113.4075456,3351.97945328,-855.5846261932679,484.129227,6250.987662676539,150.39,6386.469999999999,-135.48233732346034
2011,89.935193535,12898.2198487995,167.84,7020.970000000001,5877.249848799498,13.914452741264261,2510.3092798279963,117.272232,3469.25168528,-958.9424054520036,637.3088155436643,6888.296478220203,161.06,6547.53,340.7664782202037
2012,67.259225921,12965.479074720499,172.52,7193.490000000002,5771.989074720497,19.79574343398618,2530.1050232619823,119.7427788,3588.99446408,-1058.8894408180176,366.62359375,7254.920071970203,162.75,6710.28,544.6400719702033
2013,61.49414941,13026.9732241305,172.75,7366.240000000002,5660.733224130498,15.192030669479797,2545.297053931462,121.164984,3710.15944808,-1164.862394148538,281.657962,7536.578033970203,165.37,6875.65,660.9280339702036
2014,44.5832583253,13071.556482455799,176.81,7543.050000000002,5528.506482455797,13.03370202837909,2558.330755959841,123.6816576,3833.84110568,-1275.510349720159,230.19779,7766.775823970203,164.96,7040.61,726.1658239702037
2015,27.672367234499998,13099.228849690298,182.74,7725.790000000002,5373.438849690297,8.944022635090517,2567.274778594932,126.282204,3960.12330968,-1392.8485310850683,243.042114,8009.817937970203,160.37,7200.98,808.8379379702037
2016,27.672367234499998,13126.901216924798,183.26,7909.050000000002,5217.851216924796,3.1270083374182573,2570.40178693235,127.6010424,4087.7243520800002,-1517.32256514765,472.76577299999997,8482.583710970202,151.58,7352.5599999999995,1130.023710970203
2017,38.049504948199996,13164.950721872998,183.59,8092.640000000002,5072.310721872996,17.70241293165277,2588.104199864003,132.187428,4219.91178008,-1631.8075802159974,467.66729458732874,8950.251005557531,155.01,7507.57,1442.6810055575315
2018,33.8217821755,13198.772504048498,187.89,8280.530000000002,4918.242504048496,6.488321170774347,2594.5925210347773,138.80952,4358.72130008,-1764.128779045223,728.9265756201308,9679.177581177662,162.3,7669.87,2009.3075811776625
2019,18.44823,13217.220734048498,187.53,8468.060000000003,4749.160734048495,17.391986710277244,2611.9845077450545,142.8635232,4501.58482328,-1889.6003155349454,486.2395803809931,10165.417161558655,163.95,7833.82,2331.597161558655
2020,76.25,13293.470734048498,174.82,8642.880000000003,4650.5907340484955,20.167456486871767,2632.1519642319263,138.9816,4640.56642328,-2008.4144590480737,409.46155694920594,10574.87871850786,156.22,7990.04,2584.83871850786
2021,28.669999999999998,13322.140734048498,177.09,8819.970000000003,4502.170734048495,3.2197231526790144,2635.371687384605,145.9231308,4786.48955408,-2151.1178666953947,561.6865555873287,11136.565274095188,162.5,8152.54,2984.0252740951883
2022,122.0,13444.140734048498,184.52,9004.490000000003,4439.650734048495,8.65080796772211,2644.022495352327,145.577376,4932.06693008,-2288.044434727673,314.55453114219796,11451.119805237386,174.56,8327.1,3124.0198052373853
2023,18.299999999999997,13462.440734048498,0.0,9004.490000000003,4457.950734048494,6.458879330579592,2650.481374682907,0.0,4932.06693008,-2281.5855553970932,560.99576,12012.115565237385,0.0,8327.1,3685.015565237385
2024,18.299999999999997,13480.740734048497,0.0,9004.490000000003,4476.2507340484935,1.5329385902560322,2652.0143132731628,0.0,4932.06693008,-2280.0526168068372,534.381875,12546.497440237385,0.0,8327.1,4219.397440237384
2025,,,,,,0.03679991304337552,2652.0511131862063,0.0,4932.06693008,-2280.0158168937937,387.70667138270545,12934.20411162009,0.0,8327.1,4607.10411162009
2026,,,,,,,,,,,189.8382324657534,13124.042344085845,0.0,8327.1,4796.9423440858445
2027,,,,,,,,,,,114.12432203965852,13238.166666125504,0.0,8327.1,4911.066666125504
2028,,,,,,,,,,,71.612,13309.778666125503,0.0,8327.1,4982.678666125503
2029,,,,,,,,,,,21.2051,13330.983766125502,0.0,8327.1,5003.883766125502
2030,,,,,,,,,,,17.2601,13348.243866125502,0.0,8327.1,5021.1438661255015
2031,,,,,,,,,,,0.022125000000000002,13348.265991125501,0.0,8327.1,5021.165991125501
2032,,,,,,,,,,,8.651201910786996,13356.917193036288,0.0,8327.1,5029.817193036288
2033,,,,,,,,,,,3605.356154396162,16962.27334743245,0.0,8327.1,8635.173347432448
2034,,,,,,,,,,,8.047,16970.320347432447,0.0,8327.1,8643.220347432447
2035,,,,,,,,,,,2.08,16972.40034743245,0.0,8327.1,8645.300347432449
2038,,,,,,,,,,,3.8639999999999994,16976.26434743245,0.0,8327.1,8649.16434743245
2039,,,,,,,,,,,1.481,16977.74534743245,0.0,8327.1,8650.64534743245
2043,,,,,,,,,,,1.1394682970578864,16978.884815729507,0.0,8327.1,8651.784815729507
2053,,,,,,,,,,,1.357,16980.241815729507,0.0,8327.1,8653.141815729507
2078,,,,,,,,,,,4.813361403426924,16985.055177132934,0.0,8327.1,8657.955177132933
