Year,Oil_Discoveries_Fixed,Oil_Cumulative_Discoveries_Fixed,Oil_Production_Fixed,Oil_Cumulative_Production_Fixed,Oil_Reserves_Fixed,Gas_Discoveries_Fixed,Gas_Cumulative_Discoveries_Fixed,Gas_Production_Fixed,Gas_Cumulative_Production_Fixed,Gas_Reserves_Fixed,Coal_Discoveries_Fixed,Coal_Cumulative_Discoveries_Fixed,Coal_Production_Fixed,Coal_Cumulative_Production_Fixed,Coal_Reserves_Fixed,Oil_Discoveries,Oil_Cumulative_Discoveries,Oil_Production,Oil_Cumulative_Production,Oil_Reserves,Gas_Discoveries,Gas_Cumulative_Discoveries,Gas_Production,Gas_Cumulative_Production,Gas_Reserves,Coal_Discoveries,Coal_Cumulative_Discoveries,Coal_Production,Coal_Cumulative_Production,Coal_Reserves
1900,7.600081582800382e-15,7.600081582800382e-15,0.0,0.0,7.600081582800382e-15,0.0,0.0,0.0,0.0,0.0,0.0010345384589686,0.0010345384589686,19.26,19.26,-19.258965461541035,0.0,0.0,0.85,0.85,-0.85,0.0,1.99938,0.265825512,0.265825512,1.7335544880000002,0.0,12.62327,19.26,19.26,-6.636730000000002
1901,2.296999534018714,2.2969995340187217,0.0,0.0,2.2969995340187217,0.2772906676777989,0.2772906676777989,0.0,0.0,0.2772906676777989,0.0016191024969884,0.0026536409559571,19.61,38.870000000000005,-38.86734635904405,29.97845,29.97845,0.95,1.7999999999999998,28.17845,0.51032,2.5097,0.29458103,0.560406542,1.949293458,0.0,12.62327,19.61,38.870000000000005,-26.246730000000007
1902,0.4190029217971497,2.7160024558158717,0.0,0.0,2.7160024558158717,0.0692999840477266,0.3465906517255255,0.0,0.0,0.3465906517255255,3.791116437481631,3.793770078437588,20.08,58.95,-55.156229921562414,7.6867686793,37.6652186793,1.03,2.83,34.8352186793,0.12758,2.63728,0.323336534,0.883743076,1.753536924,3.7886,16.41187,20.08,58.95,-42.53813
1903,7.600072098554274e-15,2.716002455815879,0.0,0.0,2.716002455815879,0.0,0.3465906517255255,0.0,0.0,0.3465906517255255,28.249004024976287,32.04277410341388,21.91,80.86,-48.81722589658612,1.5373537382999998,39.2025724176,1.1,3.93,35.2725724176,0.0,2.63728,0.352092042,1.235835118,1.401444882,28.24512,44.65699,21.91,80.86,-36.20301
1904,7.600065208760157e-15,2.7160024558158864,0.0,0.0,2.7160024558158864,18.380919024729383,18.727509676454908,0.0,0.0,18.727509676454908,4.862953357313501,36.90572746072738,22.03,102.89,-65.98427253927262,13.8361836203,53.0387560379,1.23,5.16,47.87875603789999,0.0,2.63728,0.380847546,1.616682664,1.020597336,4.857,49.51399,22.03,102.89,-53.37601
1905,12.325114889895149,15.041117345711031,0.0,0.0,15.041117345711031,0.0692279140868434,18.796737590541756,0.0,0.0,18.796737590541756,0.0918620394873894,36.997589500214765,23.75,126.64,-89.64241049978523,13.8361836203,66.87493965819999,1.21,6.37,60.5049396582,0.12758,2.76486,0.40960305,2.026285714,0.738574286,0.0828,49.59679,23.75,126.64,-77.04321
1906,0.4186596281015609,15.459776973812597,0.0,0.0,15.459776973812597,0.0692024849457301,18.865940075487483,0.0,0.0,18.865940075487483,0.0136985316514142,37.01128803186618,25.08,151.72,-114.70871196813384,3.8433843366,70.71832399479999,1.21,7.58,63.13832399479999,0.12758,2.89244,0.438358558,2.464644272,0.427795728,0.0,49.59679,25.08,151.72,-102.12321
1907,7.600016567334814e-15,15.459776973812602,0.0,0.0,15.459776973812602,0.0,18.865940075487483,0.0,0.0,18.865940075487483,1.4163639316082794,38.42765196347446,27.74,179.46,-141.03234803652555,3.8433843366,74.56170833139998,1.49,9.07,65.49170833139999,0.0,2.89244,0.46711404,2.9317583120000004,-0.0393183120000002,1.3958,50.99259,27.74,179.46,-128.46741
1908,7.599982966224356e-15,15.459776973812607,0.0,0.0,15.459776973812607,0.5681462376800999,19.434086313167583,0.0,0.0,19.434086313167583,0.989456484432484,39.41710844790694,26.36,205.82,-166.40289155209305,3.8433843366,78.40509266799998,1.61,10.68,67.72509266799997,0.12758,3.02002,0.49586958,3.4276278920000003,-0.4076078920000001,0.9588,51.95139,26.36,205.82,-153.86861
1909,0.6196185613955242,16.079395535208132,0.0,0.0,16.079395535208132,0.0,19.434086313167583,0.0,0.0,19.434086313167583,0.0453860738662115,39.46249452177315,27.55,233.37,-193.90750547822685,11.530153015899998,89.93524568389998,1.7,12.38,77.55524568389998,0.0,3.02002,0.524625084,3.952252976000001,-0.9322329760000004,0.0,51.95139,27.55,233.37,-181.41861
1910,7.599862866630448e-15,16.07939553520814,0.0,0.0,16.07939553520814,0.9937630470069254,20.42784936017451,0.0,0.0,20.42784936017451,0.0667278216172633,39.529222343390416,29.02,262.39,-222.8607776566096,17.679567956899998,107.61481364079998,1.85,14.23,93.38481364079998,0.0,3.02002,0.5673204,4.519573376,-1.4995533760000002,0.0,51.95139,29.02,262.39,-210.43861
1911,1.85792470873065,17.93732024393879,0.0,0.0,17.93732024393879,0.2071915416834897,20.635040901858,0.0,0.0,20.635040901858,0.0974261060392791,39.626648449429695,29.54,291.93,-252.3033515505703,16.1422142186,123.75702785939998,1.95,16.18,107.57702785939998,0.0913901045037345,3.111410104503735,0.597475188,5.117048564,-2.0056384594962653,0.0,51.95139,29.54,291.93,-239.97861
1912,1.8574354228944732,19.79475566683326,0.0,0.0,19.79475566683326,16.38861532066497,37.02365622252297,0.0,0.0,37.02365622252297,5.164662799474475,44.79131124890417,31.0,322.93,-278.13868875109586,12.298829881999998,136.0558577414,1.99,18.17,117.8858577414,5.1854612970724725,8.296871401576208,0.627629976,5.74467854,2.5521928615762084,5.0234,56.97479,31.0,322.93,-265.95521
1913,7.599407692714008e-15,19.794755666833268,0.0,0.0,19.794755666833268,0.4006794565576,37.42433567908057,0.0,0.0,37.42433567908057,2.881406271203221,47.67271752010739,33.22,356.15,-308.4772824798926,9.2241224115,145.27998015289998,2.19,20.36,124.91998015289998,0.3467042732937802,8.643575674869988,0.657784764,6.402463303999999,2.2411123708699883,2.678,59.65279,33.22,356.15,-296.49721
1914,1.856406535895162,21.65116220272843,0.0,0.0,21.65116220272843,1.8088874398123305,39.2332231188929,0.0,0.0,39.2332231188929,0.2908606259749149,47.96357814608231,29.81,385.96,-337.9964218539177,13.8361836203,159.1161637732,2.26,22.62,136.49616377319998,1.4782071976788551,10.121782872548843,0.687939516,7.09040282,3.031380052548844,0.0,59.65279,29.81,385.96,-326.30721
1915,0.6186219304728029,22.26978413320123,0.0,0.0,22.26978413320123,1.6701494316491694,40.90337255054207,0.0,0.0,40.90337255054207,0.4318376075848403,48.395415753667145,29.34,415.3,-366.9045842463328,12.298829881999998,171.4149936552,2.42,25.04,146.3749936552,1.4172804613430323,11.539063333891876,0.718094304,7.808497124,3.730566209891877,0.0187999999999999,59.67159,29.34,415.3,-355.62841
1916,8.657691276126103,30.927475409327336,0.0,0.0,30.927475409327336,8.359965193309812,49.263337743851885,0.0,0.0,49.263337743851885,0.5824763876171346,48.97789214128428,31.47,446.77,-397.7921078587157,18.448244823,189.8632384782,2.6,27.64,162.22323847820002,6.92247824242885,18.461541576320727,0.748249128,8.556746252,9.904795324320729,0.0,59.67159,31.47,446.77,-387.09841
1917,0.6182428984762612,31.5457183078036,0.0,0.0,31.5457183078036,2.062523590012068,51.32586133386396,0.0,0.0,51.32586133386396,7.660538798544203,56.63843093982848,32.77,479.54,-422.9015690601715,11.530153015899998,201.3933914941,2.87,30.51,170.8833914941,0.0304633681679115,18.49200494448864,0.778403916,9.335150168,9.156854776488638,6.8448,66.51639,32.77,479.54,-413.02361
1918,3.528350960585616,35.07406926838921,0.0,0.0,35.07406926838921,0.5223447054265526,51.84820603929051,0.0,0.0,51.84820603929051,2.2385090882748537,58.87694002810333,32.19,511.73,-452.85305997189664,9.6084608476,211.0018523417,2.85,33.36,177.64185234169997,0.4218301045037346,18.91383504899237,0.808558704,10.143708872,8.770126176992372,1.104,67.62039,32.19,511.73,-444.10961
1919,1.85351320905847,36.92758247744768,0.0,0.0,36.92758247744768,0.2063892115856531,52.05459525087616,0.0,0.0,52.05459525087616,2.256927511190101,61.13386753929343,27.3,539.03,-477.89613246070655,16.9108910908,227.9127434325,3.25,36.61,191.3027434325,0.0913901045037345,19.005225153496102,0.838713492,10.982422364,8.022802789496106,0.69,68.31039,27.3,539.03,-470.71961
1920,0.3074467607831906,37.23502923823087,0.0,0.0,37.23502923823087,2.2420777792596263,54.296673030135786,0.0,0.0,54.296673030135786,9.242685482294682,70.37655302158811,31.29,570.3199999999999,-499.9434469784118,20.7542754274,248.6670188599,4.16,40.77,207.8970188599,2.098694530195201,21.103919683691306,0.86886828,11.851290644,9.252629039691309,7.093500000000001,75.40389,31.29,570.3199999999999,-494.91611
1921,1.330814074077452,38.56584331230832,0.0,0.0,38.56584331230832,0.1374388654145037,54.43411189555029,0.0,0.0,54.43411189555029,2.92740598836906,73.30395900995717,26.13,596.4499999999999,-523.1460409900428,14.604860486399998,263.27187934629995,4.5,45.27,218.0018793463,0.0689403607362441,21.17286004442755,0.899023032,12.750313676,8.422546368427552,0.0,75.40389,26.13,596.4499999999999,-521.0461099999999
1922,3.990970333551486,42.55681364585981,0.0,0.0,42.55681364585981,1.7739630040447565,56.20807489959505,0.0,0.0,56.20807489959505,4.133725806440108,77.43768481639728,27.58,624.03,-546.5923151836028,15.7578757886,279.0297551349,5.03,50.3,228.7297551349,1.1533028942868129,22.326162938714365,0.95971014,13.710023816,8.616139122714365,0.1739,75.57779000000001,27.58,624.03,-548.4522099999999
1923,0.6649080925061254,43.221721738365936,0.0,0.0,43.221721738365936,0.2826233452864955,56.49069824488154,0.0,0.0,56.49069824488154,5.319285154737869,82.75696997113515,32.12,656.15,-573.3930300288648,21.5229522935,300.5527074284,5.94,56.24,244.3127074284,0.034470180368122,22.36063311908249,1.124447292,14.834471108,7.526162011082487,0.0,75.57779000000001,32.12,656.15,-580.5722099999999
1924,0.6646458659444132,43.88636760431035,0.0,0.0,43.88636760431035,0.0685954063044163,56.55929365118596,0.0,0.0,56.55929365118596,8.107715074420016,90.86468504555516,31.28,687.43,-596.5653149544448,10.761476149799998,311.3141835782,5.93,62.17,249.1441835782,0.034470180368122,22.395103299450607,1.289184408,16.123655516,6.271447783450608,1.0116999999999998,76.58949000000001,31.28,687.43,-610.84051
1925,3.321873755918098,47.20824136022845,0.0,0.0,47.20824136022845,3.925305973347132,60.48459962453309,0.0,0.0,60.48459962453309,9.400692618301974,100.26537766385714,31.36,718.79,-618.5246223361428,19.9855985613,331.29978213949994,6.22,68.39,262.90978213949995,3.857409056191973,26.25251235564258,1.45392156,17.577577076,8.674935279642579,0.0,76.58949000000001,31.36,718.79,-642.2005099999999
1926,0.0280713679306125,47.23631272815906,0.0,0.0,47.23631272815906,0.1267372378884088,60.611336862421496,0.0,0.0,60.611336862421496,21.117581427644367,121.3829590915015,31.22,750.01,-628.6270409084984,103.002700277,434.3024824164999,6.38,74.77,359.5324824165,0.1040003636020387,26.35651271924462,1.61865864,19.196235716,7.16027700324462,8.7498729,85.33936290000001,31.22,750.01,-664.6706371
1927,2.2843790064402056,49.52069173459927,0.0,0.0,49.52069173459927,2.782712315845193,63.39404917826669,0.0,0.0,63.39404917826669,16.15856154822518,137.54152063972668,33.64,783.65,-646.1084793602733,136.055805562,570.3582879784999,7.28,82.05,488.3082879784999,2.8661563422732814,29.2226690615179,1.783395828,20.979631544,8.243037517517902,0.0,85.33936290000001,33.64,783.65,-698.3106371
1928,3.933164899275367,53.45385663387464,0.0,0.0,53.45385663387464,131.91222096993596,195.30627014820263,0.0,0.0,195.30627014820263,21.172058333791327,158.713578973518,33.04,816.6899999999999,-657.976421026482,211.386138635,781.7444266134999,7.65,89.7,692.0444266134998,2.219605432035812,31.442274493553715,1.94813316,22.927764704,8.514509789553713,0.2068,85.54616290000001,33.04,816.6899999999999,-731.1438370999999
1929,5.907294769373376,59.361151403248016,0.0,0.0,59.361151403248016,1.085905096922306,196.39217524512495,0.0,0.0,196.39217524512495,27.01355899401301,185.727137967531,35.14,851.8299999999999,-666.1028620324689,38.4338433843,820.1782699977998,8.57,98.27,721.9082699977998,0.5789309018406104,32.021205395394325,2.0685816,24.996346304,7.024859091394326,0.0,85.54616290000001,35.14,851.8299999999999,-766.2838370999999
1930,6.734629084320001,66.09578048756802,0.0,0.0,66.09578048756802,2.0345071325712154,198.42668237769615,0.0,0.0,198.42668237769615,43.20586736064611,228.9330053281771,32.11,883.9399999999999,-655.0069946718229,121.4509451,941.6292150977998,8.18,106.45000000000002,835.1792150977998,0.823255608937817,32.84446100433214,2.168638344,27.164984648,5.679476356332138,8.64,94.1861629,32.11,883.9399999999999,-789.7538370999999
1931,1.3620087554133409,67.45778924298136,0.0,0.0,67.45778924298136,0.2017117710146729,198.62839414871087,0.0,0.0,198.62839414871087,44.613524230579344,273.54652955875645,28.32,912.26,-638.7134704412435,18.063906393,959.6931214908,7.91,114.36,845.3331214907998,0.0513751217875634,32.895836126119704,2.2716864,29.436671048,3.459165078119703,0.69,94.8761629,28.32,912.26,-817.3838370999999
1932,6.864295129837627,74.32208437281899,0.0,0.0,74.32208437281899,4.982751198652406,203.61114534736328,0.0,0.0,203.61114534736328,57.7406241334746,331.2871536922311,25.18,937.44,-606.1528463077689,34.5904590477,994.2835805385,7.55,121.91,872.3735805384999,5.385685039176529,38.28152116529623,2.374734384,31.811405432,6.4701157332962325,2.3124,97.1885629,25.18,937.44,-840.2514371
1933,2.377711265005384,76.69979563782438,0.0,0.0,76.69979563782438,8.435756224020034,212.0469015713833,0.0,0.0,212.0469015713833,74.07624512543404,405.36339881766514,26.36,963.8,-558.4366011823348,16.1422142186,1010.4257947571,8.24,130.15,880.2757947570999,0.12758,38.40910116529624,2.47778244,34.289187872,4.119913293296236,4.614,101.8025629,26.36,963.8,-861.9974371
1934,0.9820668806817128,77.6818625185061,0.0,0.0,77.6818625185061,0.0,212.0469015713833,0.0,0.0,212.0469015713833,87.38896078917873,492.7523596068439,28.77,992.57,-499.81764039315607,26.1350135023,1036.5608082594,8.7,138.85,897.7108082593999,0.0,38.40910116529624,2.580830424,36.870018296,1.5390828692962373,0.9418,102.7443629,28.77,992.57,-889.8256370999999
1935,2.084279241762924,79.76614176026902,0.0,0.0,79.76614176026902,0.2062900352511274,212.25319160663443,0.0,0.0,212.25319160663443,124.98869838046345,617.7410579873073,30.0,1022.57,-404.8289420126927,24.597659764,1061.1584680233998,9.46,148.31,912.8484680233998,0.1395501566185023,38.54865132191474,2.68387848,39.553896776,-1.0052454540852551,18.148,120.8923629,30.0,1022.57,-901.6776371
1936,15.488913846745742,95.25505560701475,0.0,0.0,95.25505560701475,3.905504664224434,216.15869627085883,0.0,0.0,216.15869627085883,132.47762125796436,750.2186792452717,32.96,1055.53,-305.3113207547283,123.75697567999998,1184.9154437034,10.3,158.61,1026.3054437033998,6.512332468802907,45.06098379071765,2.786926464,42.34082323999999,2.720160550717658,1.3461999999999998,122.2385629,32.96,1055.53,-933.2914371
1937,8.710586810053229,103.965642417068,0.0,0.0,103.965642417068,4.103448039753533,220.2621443106124,0.0,0.0,220.2621443106124,159.94135136091413,910.1600306061858,34.63,1090.16,-179.99996939381424,65.337533771,1250.2529774743998,11.73,170.34,1079.9129774744,6.659247334765565,51.72023112548322,2.9898774,45.33070063999999,6.389530485483228,0.1104,122.3489629,34.63,1090.16,-967.8110371
1938,177.20834621998102,281.17398863704904,0.0,0.0,281.17398863704904,152.35213572196847,372.6142800325808,0.0,0.0,372.6142800325808,197.58551174888677,1107.7455423550723,32.31,1122.47,-14.724457644927496,311.31413141099995,1561.5671088853996,11.45,181.79,1379.7771088853997,3.982093493888772,55.70232461937199,3.17501388,48.50571451999999,7.196610099371995,4.122,126.4709629,32.31,1122.47,-995.9990371
1939,2.099442350516283,283.2734309875653,0.0,0.0,283.2734309875653,5.356142371839894,377.97042240442073,0.0,0.0,377.97042240442073,235.07346202038423,1342.8190043754566,34.13,1156.6,186.2190043754565,26.9036903684,1588.4707992537997,11.93,193.72,1394.7507992537996,0.2303302435751268,55.93265486294711,3.40309836,51.90881287999999,4.023841982947118,2.5208,128.9917629,34.13,1156.6,-1027.6082371000002
1940,182.24373249933424,465.5171634868996,0.0,0.0,465.5171634868996,2.0819993370583654,380.0524217414791,0.0,0.0,380.0524217414791,290.6904209815562,1633.5094253570128,37.64,1194.2400000000002,439.26942535701255,147.20162015399998,1735.6724194077997,12.31,206.03,1529.6424194077997,0.738043308989957,56.67069817193707,3.63118284,55.53999571999999,1.1307024519370756,13.0852,142.0769629,37.64,1194.2400000000002,-1052.1630371
1941,16.399719445646564,481.9168829325461,0.0,0.0,481.9168829325461,3.439385603016968,383.49180734449607,0.0,0.0,383.49180734449607,332.86521930167703,1966.3746446586897,39.02,1233.2600000000002,733.1146446586895,78.405040513,1814.0774599208,12.68,218.71,1595.3674599207995,2.278425138808913,58.94912331074598,3.85926732,59.39926304,-0.4501397292540119,3.7727,145.8496629,39.02,1233.2600000000002,-1087.4103371
1942,5.360690481775214,487.27757341432135,0.0,0.0,487.27757341432135,0.4206205432064248,383.9124278877025,0.0,0.0,383.9124278877025,388.68509567062745,2355.0597403293173,39.69,1272.9500000000005,1082.109740329317,103.771377137,1917.8488370577995,11.94,230.65,1687.1988370577994,0.1439840102827193,59.093107321028704,4.0873518,63.48661484,-4.39350751897129,1.2558,147.1054629,39.69,1272.9500000000005,-1125.8445371000005
1943,12.903875805545931,500.18144921986726,0.0,0.0,500.18144921986726,4.695136294243769,388.6075641819463,0.0,0.0,388.6075641819463,475.2632361549904,2830.322976484308,40.79,1313.7400000000002,1516.5829764843074,18.448244823,1936.2970818808,12.85,243.5,1692.7970818807996,5.969118389687322,65.06222571071602,4.31543628,67.80205111999999,-2.7398254092839665,22.312500000000004,169.4179629,40.79,1313.7400000000002,-1144.3220371000002
1944,14.259695022263134,514.4411442421303,0.0,0.0,514.4411442421303,6.578052906354063,395.1856170883003,0.0,0.0,395.1856170883003,544.8478484568712,3375.170824941179,39.16,1352.9000000000003,2022.2708249411787,52.2700270046,1988.5671088854,14.75,258.25,1730.3171088853996,6.735831962792062,71.79805767350808,4.54352076,72.34557188,-0.5475142064919112,18.9595,188.3774629,39.16,1352.9000000000003,-1164.5225371000004
1945,13.284265810519344,527.7254100526497,0.0,0.0,527.7254100526497,67.62229950191377,462.80791659021406,0.0,0.0,462.80791659021406,606.8043487545613,3981.975173695741,31.42,1384.3200000000004,2597.65517369574,80.326732663,2068.8938415483995,14.74,272.99,1795.9038415483994,0.3348957439998953,72.13295341750798,4.77160524,77.11717712,-4.984223702492017,0.4588,188.8362629,31.42,1384.3200000000004,-1195.4837371000003
